chain,name,address,district,lat,lng,source,source_id,source_url
Espresso Day,Espresso Day,"Улица Кайым Мухамедханов, 12",Нура,51.141,71.37975,2GIS snapshot in repository,70000001080139538,https://2gis.kz/astana/firm/70000001080139538
Espresso Day,Espresso Day,"Улица Касым Кайсенов, 6",Есильский,51.09736,71.44472,2GIS snapshot in repository,70000001098185329,https://2gis.kz/astana/firm/70000001098185329
Espresso Day,Espresso Day,"Улица Максут Нарикбаев, 14",Нура,51.14431,71.38513,2GIS snapshot in repository,70000001096806724,https://2gis.kz/astana/firm/70000001096806724
Espresso Day,Espresso Day,"Улица Максут Нарикбаев, 2",Нура,51.13982,71.39282,2GIS snapshot in repository,70000001080779013,https://2gis.kz/astana/firm/70000001080779013
Espresso Day,Espresso Day,"Улица Санжара Асфендиярова, 1",Нура,51.13202,71.37546,2GIS snapshot in repository,70000001097199344,https://2gis.kz/astana/firm/70000001097199344
Espresso Day,Espresso Day,"Улица Санжара Асфендиярова, 12",Нура,51.13629,71.37714,2GIS snapshot in repository,70000001103400178,https://2gis.kz/astana/firm/70000001103400178
Espresso Day,Espresso Day,"Улица Сыганак, 12",Нура,51.13045,71.3722,2GIS snapshot in repository,70000001114419215,https://2gis.kz/astana/firm/70000001114419215
Espresso Day,Espresso Day,"Улица Сыганак, 38/1",Нура,51.12712,71.39849,2GIS snapshot in repository,70000001104223101,https://2gis.kz/astana/firm/70000001104223101
Espresso Day,Espresso Day,"Улица Сыганак, 42",Нура,51.12684,71.4004,2GIS snapshot in repository,70000001105126775,https://2gis.kz/astana/firm/70000001105126775
Espresso Day,Espresso Day,"Улица Толе би, 16",Нура,51.10007,71.38835,2GIS snapshot in repository,70000001091239612,https://2gis.kz/astana/firm/70000001091239612
Espresso Day,Espresso Day,"Улица Толе би, 51",Нура,51.12397,71.39394,2GIS snapshot in repository,70000001091239613,https://2gis.kz/astana/firm/70000001091239613
Espresso Day,Espresso Day,"Улица Толе би, 65",Нура,51.13632,71.39733,2GIS snapshot in repository,70000001088846234,https://2gis.kz/astana/firm/70000001088846234
Espresso Day,Espresso Day,"Улица Турар Рыскулов, 16/4",Есильский,51.07986,71.43036,2GIS snapshot in repository,70000001110144180,https://2gis.kz/astana/firm/70000001110144180
Espresso Day,Espresso Day,"Улица Турар Рыскулов, 3",Есильский,51.0862,71.40793,2GIS snapshot in repository,70000001114363966,https://2gis.kz/astana/firm/70000001114363966
Espresso Day,Espresso Day,"Улица Турар Рыскулов, 9а",Есильский,51.0852,71.42029,2GIS snapshot in repository,70000001103738482,https://2gis.kz/astana/firm/70000001103738482
Espresso Day,Espresso Day,"Улица Туркестан, 16",Есильский,51.10693,71.42488,2GIS snapshot in repository,70000001113475084,https://2gis.kz/astana/firm/70000001113475084
Espresso Day,Espresso Day,"Улица Туркестан, 16/5",Есильский,51.10535,71.42655,2GIS snapshot in repository,70000001084319645,https://2gis.kz/astana/firm/70000001084319645
Espresso Day,Espresso Day,"Улица Туркестан, 18/1",Есильский,51.10434,71.42565,2GIS snapshot in repository,70000001115190369,https://2gis.kz/astana/firm/70000001115190369
Espresso Day,Espresso Day,"Улица Чингиз Айтматов, 79",Сарыарка,51.16762,71.37441,2GIS snapshot in repository,70000001113474970,https://2gis.kz/astana/firm/70000001113474970
Espresso Day,Espresso Day,"Улица Шамши Калдаяков, 14",Сарайшык,51.11528,71.4766,2GIS snapshot in repository,70000001114419352,https://2gis.kz/astana/firm/70000001114419352
Espresso Day,Espresso Day,"Улица Шамши Калдаяков, 23/2",Сарайшык,51.11422,71.48901,2GIS snapshot in repository,70000001115651351,https://2gis.kz/astana/firm/70000001115651351
Espresso Day,Espresso Day,"Шоссе Коргалжын, 13Б",Нура,51.14786,71.38587,2GIS snapshot in repository,70000001112351561,https://2gis.kz/astana/firm/70000001112351561
Espresso Day,Espresso Day,"Шоссе Коргалжын, 3",Нура,51.14543,71.40702,2GIS snapshot in repository,70000001088274564,https://2gis.kz/astana/firm/70000001088274564
Zebra Coffee,Zebra Coffee,"Аль-Фараби проспект, 11/1",Есильский,51.09723,71.44912,2GIS snapshot in repository,70000001076564440,https://2gis.kz/astana/firm/70000001076564440
Zebra Coffee,Zebra Coffee,"Амангельды Иманова улица, 3/1в киоск",Байконур,51.16334,71.43085,2GIS snapshot in repository,70000001059959174,https://2gis.kz/astana/firm/70000001059959174
